ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.5_W2_0.5,Toplam_Yesil_Alan_GA_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.5_W2_0.5,Toplam_Yesil_Alan_PSO_W1_0.5_W2_0.5
PENDİK,2660127.4940079455,749356.0,396,17,18,36.235408116735066,105834.18142569264,2765961.675433638,0.0,2660127.4940079455
SANCAKTEPE,851191.7589597908,502077.0,206,6,5,43.09060899260103,316083.3850075408,1167275.1439673316,425595.8794798954,1276787.6384396863
SARIYER,2743974.6658907183,342582.0,335,7,32,26.711909353905497,43696.00587424464,2787670.671764963,0.0,2743974.6658907183
SULTANBEYLİ,711311.9838774118,369193.0,147,2,5,43.09060899260103,88650.77785965955,799962.7617370713,172883.98273359356,884195.9666110054
SULTANGAZİ,560013.4265267146,532601.0,143,6,4,48.57816540477577,262394.1711110223,822407.5976377369,280006.7132633573,840020.1397900719
SİLİVRİ,4064999.079093968,232156.0,264,0,7,39.4643751422718,7.123521113252799,4065006.2026150813,0.0,4064999.079093968
TUZLA,3153689.0698800897,301400.0,241,4,12,41.09867971773276,381.59086072099007,3154070.660740811,0.0,3153689.0698800897
ZEYTİNBURNU,789642.239856637,278344.0,195,8,14,38.212086659064994,137758.7559152981,927400.9957719351,0.0,789642.239856637
ÇATALCA,1088806.6011754582,80399.0,80,0,1,29.73571591167767,1254.8484814207975,1090061.449656879,0.0,1088806.6011754582
ÇEKMEKÖY,545283.4216504643,306739.0,96,1,5,29.7875014280818,97118.26950136173,642401.6911518261,0.0,545283.4216504643
ÜMRANİYE,1448077.7828947406,727819.0,389,20,11,29.7875014280818,153782.79730631833,1601860.5802010589,0.0,1448077.7828947406
ÜSKÜDAR,2357259.2624715716,512981.0,296,9,33,25.062542720437456,953.3503759888899,2358212.6128475606,0.0,2357259.2624715716
ŞİLE,347167.07496639347,48936.0,153,0,0,43.09060899260103,21260.329339551947,368427.40430594544,0.0,347167.07496639347
ŞİŞLİ,354780.26493224973,263063.0,68,9,33,28.04237867395762,121875.84045964837,476656.1053918981,0.0,354780.26493224973
