ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Yeni_Yapilacak_Yesil_Alan_GA_W1_1.0_W2_0.0,Toplam_Yesil_Alan_GA_W1_1.0_W2_0.0,Yeni_Yapilacak_Yesil_Alan_PSO_W1_1.0_W2_0.0,Toplam_Yesil_Alan_PSO_W1_1.0_W2_0.0,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.9_W2_0.1,Toplam_Yesil_Alan_GA_W1_0.9_W2_0.1,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.9_W2_0.1,Toplam_Yesil_Alan_PSO_W1_0.9_W2_0.1,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.8_W2_0.2,Toplam_Yesil_Alan_GA_W1_0.8_W2_0.2,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.8_W2_0.2,Toplam_Yesil_Alan_PSO_W1_0.8_W2_0.2,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.7_W2_0.3,Toplam_Yesil_Alan_GA_W1_0.7_W2_0.3,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.7_W2_0.3,Toplam_Yesil_Alan_PSO_W1_0.7_W2_0.3,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.6_W2_0.4,Toplam_Yesil_Alan_GA_W1_0.6_W2_0.4,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.6_W2_0.4,Toplam_Yesil_Alan_PSO_W1_0.6_W2_0.4,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.5_W2_0.5,Toplam_Yesil_Alan_GA_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.5_W2_0.5,Toplam_Yesil_Alan_PSO_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.4_W2_0.6,Toplam_Yesil_Alan_GA_W1_0.4_W2_0.6,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.4_W2_0.6,Toplam_Yesil_Alan_PSO_W1_0.4_W2_0.6,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.3_W2_0.7,Toplam_Yesil_Alan_GA_W1_0.3_W2_0.7,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.3_W2_0.7,Toplam_Yesil_Alan_PSO_W1_0.3_W2_0.7,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.2_W2_0.8,Toplam_Yesil_Alan_GA_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.2_W2_0.8,Toplam_Yesil_Alan_PSO_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.1_W2_0.9,Toplam_Yesil_Alan_GA_W1_0.1_W2_0.9,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.1_W2_0.9,Toplam_Yesil_Alan_PSO_W1_0.1_W2_0.9,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.0_W2_1.0,Toplam_Yesil_Alan_GA_W1_0.0_W2_1.0,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.0_W2_1.0,Toplam_Yesil_Alan_PSO_W1_0.0_W2_1.0
BEYLİKDÜZÜ,856528.9033921233,415290.0,233,0,7,39.4643751422718,147376.44577338212,1003905.3491655054,0.0,856528.9033921233,166140.39223961812,1022669.2956317414,0.0,856528.9033921233,154593.92673856753,1011122.8301306908,0.0,856528.9033921233,143708.21054050754,1000237.1139326309,428264.45169606165,1284793.355088185,220502.24482864965,1077031.1482207729,0.0,856528.9033921233,58795.27284878204,915324.1762409053,0.0,856528.9033921233,124559.90107507104,981088.8044671944,0.0,856528.9033921233,99938.05821635606,956466.9616084794,0.0,856528.9033921233,15992.553512082673,872521.456904206,247006.16610749665,1103535.06949962,89974.69426615497,946503.5976582783,374107.1511526766,1230636.0545448,23615.59665086559,880144.5000429889,0.0,856528.9033921233
BEYOĞLU,508454.11097757774,216688.0,75,11,21,28.04237867395762,3794.2018335450584,512248.3128111228,0.0,508454.11097757774,17953.962648733082,526408.0736263108,0.0,508454.11097757774,73264.2994771018,581718.4104546795,0.0,508454.11097757774,27640.177403564783,536094.2883811425,0.0,508454.11097757774,133957.8829086006,642411.9938861784,254141.6748034696,762595.7857810473,8.231948666238745,508462.34292624396,254227.05548878887,762681.1664663666,67368.05454882179,575822.1655263995,0.0,508454.11097757774,40612.90248989336,549067.0134674711,254226.98228570574,762681.0932632835,150061.49830521803,658515.6092827958,0.0,508454.11097757774,36547.696617152294,545001.80759473,89092.87962539161,597546.9906029693,498.464903193439,508952.5758807712,0.0,508454.11097757774
BEŞİKTAŞ,1158348.9200150063,167264.0,31,8,54,28.04237867395762,121.6223073497047,1158470.542322356,0.0,1158348.9200150063,6598.717032697728,1164947.637047704,0.0,1158348.9200150063,43195.2703732605,1201544.190388267,0.0,1158348.9200150063,2752.9992680016167,1161101.919283008,0.0,1158348.9200150063,14564.824882987206,1172913.7448979935,0.0,1158348.9200150063,6478.260894977304,1164827.1809099836,0.0,1158348.9200150063,3419.607841574379,1161768.5278565807,0.0,1158348.9200150063,42008.891616560475,1200357.8116315668,0.0,1158348.9200150063,13918.489511168063,1172267.4095261744,0.0,1158348.9200150063,25165.72684274742,1183514.6468577539,0.0,1158348.9200150063,742.6317314652924,1159091.5517464716,0.0,1158348.9200150063
BÜYÜKÇEKMECE,2569637.880803156,280528.0,273,0,16,39.4643751422718,1309.2878974969517,2570947.168700653,0.0,2569637.880803156,46.497539321033955,2569684.378342477,0.0,2569637.880803156,22670.590809632704,2592308.4716127887,0.0,2569637.880803156,380.8729370648602,2570018.7537402213,0.0,2569637.880803156,1799.2358098160098,2571437.116612972,0.0,2569637.880803156,7460.800275866142,2577098.681079022,0.0,2569637.880803156,1059.438129158385,2570697.3189323144,0.0,2569637.880803156,600.7302260789497,2570238.611029235,0.0,2569637.880803156,1066.6588958368943,2570704.539698993,0.0,2569637.880803156,1945.7428796146294,2571583.623682771,0.0,2569637.880803156,45.54733579765096,2569683.4281389536,0.0,2569637.880803156
ESENLER,375489.4256326568,423625.0,138,10,5,31.290963030579643,108578.796375081,484068.2220077378,0.0,375489.4256326568,116385.6127139905,491875.0383466473,0.0,375489.4256326568,88599.79591652933,464089.2215491861,0.0,375489.4256326568,65360.18067421873,440849.60630687553,187744.7128163284,563234.1384489852,166383.9822573052,541873.407889962,187744.7128163284,563234.1384489852,93233.81391584309,468723.23954849987,187744.7128163284,563234.1384489852,95124.48811540342,470613.91374806024,187744.7128163284,563234.1384489852,121798.92409525206,497288.34972790885,0.0,375489.4256326568,76380.53231581207,451869.95794846886,187744.7128163284,563234.1384489852,120286.84902171002,495776.2746543668,0.0,375489.4256326568,16724.140491123995,392213.5661237808,187744.7128163284,563234.1384489852
ESENYURT,1190145.785879942,988369.0,277,3,12,39.4643751422718,270180.8165442657,1460326.6024242076,595072.892939971,1785218.678819913,318300.3603663945,1508446.1462463364,0.0,1190145.785879942,243962.43164883845,1434108.2175287805,0.0,1190145.785879942,411330.6126771079,1601476.3985570497,595072.892939971,1785218.678819913,390788.12578946544,1580933.9116694073,0.0,1190145.785879942,407586.9298774983,1597732.7157574403,0.0,1190145.785879942,202017.22561894025,1392163.0114988822,595072.892939971,1785218.678819913,262965.508523895,1453111.2944038368,587793.2017523741,1777938.987632316,314386.1435246919,1504531.9294046338,0.0,1190145.785879942,205267.87229390157,1395413.6581738435,0.0,1190145.785879942,357366.0912361376,1547511.8771160794,0.0,1190145.785879942
EYÜPSULTAN,7189930.516470695,420706.0,300,25,16,37.04040519007512,201.1591182045572,7190131.675588899,0.0,7189930.516470695,41.456264847525446,7189971.972735543,0.0,7189930.516470695,628.942972335628,7190559.459443031,0.0,7189930.516470695,1070.990113109956,7191001.506583805,0.0,7189930.516470695,3741.0541816945624,7193671.57065239,0.0,7189930.516470695,300.97551421936475,7190231.491984914,0.0,7189930.516470695,9397.87073496489,7199328.387205659,0.0,7189930.516470695,4479.838412584907,7194410.35488328,0.0,7189930.516470695,1382.111429842991,7191312.627900538,0.0,7189930.516470695,46.711329063642594,7189977.227799758,0.0,7189930.516470695,0.005652474414058732,7189930.522123169,0.0,7189930.516470695
FATİH,1857859.9336286236,354472.0,14,27,32,38.212086659064994,2513.8402450804933,1860373.773873704,0.0,1857859.9336286236,12136.01461255804,1869995.9482411817,0.0,1857859.9336286236,2783.6930234523857,1860643.626652076,0.0,1857859.9336286236,3189.4839288930625,1861049.4175575166,0.0,1857859.9336286236,3021.339104730854,1860881.2727333545,0.0,1857859.9336286236,19080.053045740868,1876939.9866743644,0.0,1857859.9336286236,14580.564998147212,1872440.498626771,0.0,1857859.9336286236,14026.436907822721,1871886.3705364463,0.0,1857859.9336286236,17368.085950747656,1875228.0195793712,0.0,1857859.9336286236,77.42466173145098,1857937.358290355,0.0,1857859.9336286236,21514.26730117009,1879374.2009297938,0.0,1857859.9336286236
GAZİOSMANPAŞA,204094.60721775488,479931.0,180,8,7,37.04040519007512,100823.61394865563,304918.2211664105,102047.30360887744,306141.9108266323,101989.70401047768,306084.3112282326,102047.30360887744,306141.9108266323,101087.07934090437,305181.68655865925,0.0,204094.60721775488,101854.93283546861,305949.5400532235,102047.30360887744,306141.9108266323,101441.39358431917,305536.00080207404,102047.30360887744,306141.9108266323,101188.58561228194,305283.1928300368,0.0,204094.60721775488,101140.26626395894,305234.8734817138,102047.30360887744,306141.9108266323,102037.00004256034,306131.6072603152,0.0,204094.60721775488,101431.25244554394,305525.8596632988,0.0,204094.60721775488,99398.33584790824,303492.9430656631,102047.30360887744,306141.9108266323,65799.966819108,269894.5740368629,102047.30360887744,306141.9108266323
GÜNGÖREN,29380.789241699124,264831.0,144,6,7,36.609391184255955,14690.385453032039,44071.17469473116,14690.394620849562,44071.183862548685,14690.394620849562,44071.183862548685,14690.394620849562,44071.183862548685,14684.03424357394,44064.82348527307,14690.394620849562,44071.183862548685,14690.38636531568,44071.175607014804,14690.394620849562,44071.183862548685,14690.382085899913,44071.17132759903,14690.394620849562,44071.183862548685,14690.39460989973,44071.18385159885,14690.394620849562,44071.183862548685,14690.372372152302,44071.16161385142,14690.394620849562,44071.183862548685,14690.377325803693,44071.16656750282,14690.390390842742,44071.17963254187,14690.393122970743,44071.18236466987,14690.394620849562,44071.183862548685,14690.271611574175,44071.0608532733,14690.394620849562,44071.183862548685,14690.340676001957,44071.12991770108,14690.394620849562,44071.183862548685
